order_id,customer_name,region,sales,profit
CA-2016-138688,Darrin Van Huff,West,14.62,6.8714
CA-2014-115812,Brosina Hoffman,West,48.86,14.1694
CA-2014-115812,Brosina Hoffman,West,7.28,1.9656
CA-2014-115812,Brosina Hoffman,West,907.152,90.7152
CA-2014-115812,Brosina Hoffman,West,18.504,5.7825
CA-2014-115812,Brosina Hoffman,West,114.9,34.47
CA-2014-115812,Brosina Hoffman,West,1706.184,85.3092
CA-2014-115812,Brosina Hoffman,West,911.424,68.3568
CA-2016-161389,Irene Maddox,West,407.976,132.5922
CA-2014-167164,Alejandro Grove,West,55.5,9.99
